Writing Image
Write-Pointer 2128320
Write-Pointer 2128352
Write-Pointer 2128384
Write-Pointer 2128416
Write-Pointer 2128448
Write-Pointer 2128480
Write-Pointer 2128512
Write-Pointer 2128544
Write-Pointer 2128576
Write-Pointer 2128608
Write-Pointer 2128640
Write-Pointer 2128672
Write-Pointer 2128704
Write-Pointer 2128736
Write-Pointer 2128768
Write-Pointer 2128800
Write-Pointer 2128832
Write-Pointer 2128864
Write-Pointer 2128896
Write-Pointer 2128928
Write-Pointer 2128960
Write-Pointer 2128992
Write-Pointer 2129024
Write-Pointer 2129056
Write-Pointer 2129088
Write-Pointer 2129120
Write-Pointer 2129152
Write-Pointer 2129184
Write-Pointer 2129216
Write-Pointer 2129248
Write-Pointer 2129280
Write-Pointer 2129312
Write-Pointer 2129344
Write-Pointer 2129376
Write-Pointer 2129408
Write-Pointer 2129440
Write-Pointer 2129472
Write-Pointer 2129504
Write-Pointer 2129536
Write-Pointer 2129568
Write-Pointer 2129600
Write-Pointer 2129632
Write-Pointer 2129664
Write-Pointer 2129696
Write-Pointer 2129728
Write-Pointer 2129760
Write-Pointer 2129792
Write-Pointer 2129824
Write-Pointer 2129856
Write-Pointer 2129888
Write-Pointer 2129920
Write-Pointer 2129952
Write-Pointer 2129984
Write-Pointer 2130016
Write-Pointer 2130048
Write-Pointer 2130080
Write-Pointer 2130112
Write-Pointer 2130144
Write-Pointer 2130176
Write-Pointer 2130208
Write-Pointer 2130240
Write-Pointer 2130272
Write-Pointer 2130304
Write-Pointer 2130336
Write-Pointer 2130368
Write-Pointer 2130400
Write-Pointer 2130432
Write-Pointer 2130464
Write-Pointer 2130496
Write-Pointer 2130528
Write-Pointer 2130560
Write-Pointer 2130592
Write-Pointer 2130624
Write-Pointer 2130656
Write-Pointer 2130688
Write-Pointer 2130720
Write-Pointer 2130752
Write-Pointer 2130784
Write-Pointer 2130816
Write-Pointer 2130848
Write-Pointer 2130880
Write-Pointer 2130912
Write-Pointer 2130944
Write-Pointer 2130976
Write-Pointer 2131008
Write-Pointer 2131040
Write-Pointer 2131072
Write-Pointer 2131104
Write-Pointer 2131136
Write-Pointer 2131168
Write-Pointer 2131200
Write-Pointer 2131232
Write-Pointer 2131264
Write-Pointer 2131296
Write-Pointer 2131328
Write-Pointer 2131360
Write-Pointer 2131392
Write-Pointer 2131424
Write-Pointer 2131456
Write-Pointer 2131488
Write-Pointer 2131520
Write-Pointer 2131552
Write-Pointer 2131584
Write-Pointer 2131616
Write-Pointer 2131648
Write-Pointer 2131680
Write-Pointer 2131712
Write-Pointer 2131744
Write-Pointer 2131776
Write-Pointer 2131808
Write-Pointer 2131840
Write-Pointer 2131872
Write-Pointer 2131904
Write-Pointer 2131936
Write-Pointer 2131968
Write-Pointer 2132000
Write-Pointer 2132032
Write-Pointer 2132064
Write-Pointer 2132096
Write-Pointer 2132128
Write-Pointer 2132160
Write-Pointer 2132192
Write-Pointer 2132224
Write-Pointer 2132256
Write-Pointer 2132288
Write-Pointer 2132320
Write-Pointer 2132352
Write-Pointer 2132384
Write-Pointer 2132416
Write-Pointer 2132448
Write-Pointer 2132480
Write-Pointer 2132512
Write-Pointer 2132544
Write-Pointer 2132576
Write-Pointer 2132608
Write-Pointer 2132640
